strategy,chamfer,static_completeness,dynamic_completeness,static_accuracy,dynamic_accuracy,motion_gap,ate,rpe,rot_error,focal_error,pp_error,jitter_mean,jitter_std,jitter_p95,jitter_max,drift_mean,hf_jitter,delta_consistency
baseline_2views,0.062077698811616,0.8206920176321226,0.6847930058183257,0.872799822504315,0.4038299419809566,0.4689698805233583,0.0754274031661178,0.0482701249684652,1.1733361389980022,0.080166266200263,41.76111728811813,0.0034813129110261,0.0015362369944341,0.0062663807068019,0.0197785274125635,0.0073419780936091,0.005703931255266,
baseline_3views,0.1360489196470255,0.9129533217543704,0.5393872453915136,0.9014267487086598,0.5232184274507041,0.3782083212579557,0.0694802223181826,0.05474986401252,1.7622649160716652,0.0708241813736413,38.20203860537072,0.0030174755956977,0.0009474164224229,0.0046541555784642,0.0165995742660015,0.0054596317932009,0.0050192902330308,
baseline_4views,0.1169140109386053,0.8932389932978975,0.6506610663542065,0.9662041751075416,0.5695695076200111,0.3966346674875303,0.0576126699403237,0.0512825428769539,1.2701252296989831,0.070116107893303,36.85993545849256,0.0067326521035283,0.0014100512722506,0.0092678624670952,0.0247588820755481,0.0086458595935254,0.0115814603399485,
strategy1_2views,0.065397779308018,0.7229603015282591,0.5736311212183726,0.7846920350011928,0.3547051181444173,0.4299869168567755,0.0780437737345633,0.0485720981413764,1.5155736395956347,0.080166266200263,41.76111728811813,0.0038326329551636,0.0016301925643346,0.0066387305036186,0.0210057443007826,0.014523337688297,0.0062950062099843,0.003320080496402
strategy1_3views,0.1374045117405438,0.8617147913578864,0.507445996314281,0.8515376575558462,0.4914312204855713,0.3601064370702748,0.073239894334626,0.0560781079419231,1.9027405129330173,0.0708241813736413,38.20203860537072,0.0037662546150385,0.001099334610626,0.0056281405501067,0.0178597452118992,0.0096607827115803,0.006260939920321,0.0013555920935182
strategy1_4views,0.1183100966178753,0.8341295873167156,0.5938511032634679,0.9286222373861376,0.5367445569189394,0.3918776804671984,0.0669886199508695,0.0567538379407769,1.5286773616435172,0.070116107893303,36.85993545849256,0.0074720193631946,0.0014798181189689,0.0102093418128788,0.0255811613053082,0.0136545450892299,0.0127961007412522,0.00139608567927
strategy2_2views,0.0654561864951292,0.7237245464973954,0.5718720593058312,0.788563272698473,0.3527407460202393,0.4358225266782335,0.0783220950682743,0.0486501421587975,1.541438491307498,0.080166266200263,41.76111728811813,0.0034917024662717,0.0016049945377744,0.0063024454284458,0.0204492511227726,0.0148233134765177,0.0057370327878742,0.0033784876835131
strategy2_3views,0.1374176170565077,0.8658180118968821,0.5080224555566833,0.8539253098364756,0.5026435094120024,0.3512818004244731,0.074688677113136,0.0565588214770959,1.8950096884881544,0.0708241813736413,38.20203860537072,0.0031450270907952,0.0009424474555998,0.0047033746261149,0.0165677574463188,0.0078070023562758,0.005195434205234,0.0013686974094821
strategy2_4views,0.1180493598853666,0.8338723894235694,0.5906891145833025,0.9273426560702824,0.5452513779722342,0.3820912780980482,0.0739719213427613,0.0627681474648464,1.5464976012338525,0.070116107893303,36.85993545849256,0.0068202040623873,0.0014178790501318,0.0093779148068278,0.0246756449341773,0.0113602239638566,0.0117099017370491,0.0011353489467613
strategy3_2views,0.0653927368048797,0.7257419114777556,0.5760814938098905,0.7881426568993359,0.3574081823964848,0.4307344745028511,0.0780462370980852,0.0486014708556192,1.5228747046394635,0.080166266200263,41.76111728811813,0.0040593575919046,0.0014504470862447,0.0065386727917939,0.0203864532522856,0.0133622684516012,0.0067625945899635,0.0033150379932636
strategy3_3views,0.1372421906785077,0.868365798537242,0.5117880375419074,0.8549785425473392,0.4927989410316192,0.36217960151572,0.0730132416614396,0.0561267066405301,1.8892876061261423,0.0708241813736413,38.20203860537072,0.0036793567240237,0.0008653316821436,0.0051216640509664,0.0169412102550267,0.0084980484563856,0.0061851589009165,0.0011932710314821
strategy3_4views,0.1179356153564351,0.8435220213472451,0.5991548418489625,0.933299465859598,0.5404378634997984,0.3928616023597995,0.0657640113505018,0.0565583476943325,1.517216425216784,0.070116107893303,36.85993545849256,0.0075862579047679,0.0014307026751338,0.0101160350255667,0.0252360709942876,0.0123763875570147,0.0130000161938368,0.0010216044178297
