strategy,chamfer,ate,rpe,rot_error,focal_error,pp_error,delta_consistency,global_accuracy,global_completeness
baseline_2views,0.861313314303327,1.5346824691884142,0.3871091903701902,9.99072994752036,0.609760146456281,461.241020326951,,0.027774849620123,0.0313973369397897
baseline_3views,0.6968163873593991,2.015081445074099,2.424244576806116,37.03372698329227,0.5954444593241744,491.5217686843504,,0.0224218367427093,0.0278066037735849
baseline_4views,0.8772968979593465,2.0465021844986104,2.99067858751462,39.5521793791222,0.5963835038509079,474.723714893801,,0.004893913455359,0.0113942307692307
strategy1_2views,0.8497958347847147,1.5092268641395103,0.4052538122102112,9.526551708409198,0.609760146456281,461.241020326951,-0.0115174795186123,0.0250283740026557,0.0301488213044816
strategy1_3views,0.6914335302614616,1.9930432310964257,2.429891603709988,36.50682121945223,0.5954444593241744,491.5217686843504,-0.0053828570979376,0.0201963888980671,0.0260407595549104
strategy1_4views,0.8558439576940214,1.991130314954003,2.9919193948996123,39.882978826061624,0.5963835038509079,474.723714893801,-0.021452940265325,0.0041865513977683,0.0086937590711175
strategy2_2views,0.8485231244914292,1.5109513826683203,0.3871200568605644,8.812429481380967,0.609760146456281,461.241020326951,-0.0127901898118977,0.0242611571400119,0.0295383076043453
strategy2_3views,0.6842064266747829,2.02994390165401,2.404533295147862,36.83473075249946,0.5954444593241744,491.5217686843504,-0.0126099606846162,0.0244288972346507,0.0262769109820996
strategy2_4views,0.852065054421228,2.0041249439126845,2.9882533633397106,39.63509112700534,0.5963835038509079,474.723714893801,-0.0252318435381184,0.0044991540589429,0.009849419448476
strategy3_2views,0.8120229463308442,1.4169022322817135,0.3953300151680591,8.413477233472111,0.609760146456281,461.241020326951,-0.0492903679724827,0.026402211945345,0.0288761160223424
strategy3_3views,0.6717074865178848,1.9624081483166511,2.4197469052240987,35.525870463746344,0.5954444593241744,491.5217686843504,-0.0251089008415144,0.0228745104182407,0.0239556119980648
strategy3_4views,0.8088204875500338,2.0337746985593017,3.0015997040795264,39.849839164918656,0.5963835038509079,474.723714893801,-0.0684764104093126,0.0072043481958149,0.0072596153846153
