strategy,chamfer,ate,rpe,rot_error,focal_error,pp_error,delta_consistency,global_accuracy,global_completeness
baseline_2views,0.0789939772851486,1.8104472511438892,0.3311823593191039,2.547402535352034,0.57696149685579,417.7138226044633,,0.1456492489248981,0.1226164039094225
baseline_3views,0.069505962153188,2.002498982749179,0.2067724644813533,1.5738568800640786,0.5531666683030462,418.4226271602042,,0.1432520593615674,0.1748268300889285
baseline_4views,0.0667957276438071,1.7860554799033228,0.3012270711780562,1.3763755734156655,0.5595070511302818,419.0583303935728,,0.1438525658679262,0.203380889663916
strategy1_2views,0.0833717837705594,1.7942572762015714,0.3307342850450687,2.7302271697549467,0.57696149685579,417.7138226044633,0.0043778064854107,0.1473843930549579,0.1177779233272467
strategy1_3views,0.0726146622929415,2.0029586579556247,0.2236714291160194,2.1772150212248147,0.5531666683030462,418.4226271602042,0.0031087001397533,0.1463831216323843,0.1654548552864611
strategy1_4views,0.0693743038267116,1.7952283458724954,0.3381081740983218,2.557983104505935,0.5595070511302818,419.0583303935728,0.0025785761829044,0.1470884460650248,0.1952857176130038
strategy2_2views,0.0833717837705594,1.7942572762015714,0.3307342850450687,2.7302271697549467,0.57696149685579,417.7138226044633,0.0043778064854107,0.1473843930549579,0.1177779233272467
strategy2_3views,0.0726146622929415,2.0029586579556247,0.2236714291160194,2.1772150212248147,0.5531666683030462,418.4226271602042,0.0031087001397533,0.1463831216323843,0.1654548552864611
strategy2_4views,0.0693743038267116,1.7952283458724954,0.3381081740983218,2.557983104505935,0.5595070511302818,419.0583303935728,0.0025785761829044,0.1470884460650248,0.1952857176130038
strategy3_2views,0.0833717837705594,1.7942572762015714,0.3307342850450687,2.7302271697549467,0.57696149685579,417.7138226044633,0.0043778064854107,0.1473843930549579,0.1177779233272467
strategy3_3views,0.0726146622929415,2.0029586579556247,0.2236714291160194,2.1772150212248147,0.5531666683030462,418.4226271602042,0.0031087001397533,0.1463831216323843,0.1654548552864611
strategy3_4views,0.0693743038267116,1.7952283458724954,0.3381081740983218,2.557983104505935,0.5595070511302818,419.0583303935728,0.0025785761829044,0.1470884460650248,0.1952857176130038
