strategy,chamfer,static_completeness,dynamic_completeness,static_accuracy,dynamic_accuracy,motion_gap,ate,rpe,rot_error,focal_error,pp_error,jitter_mean,jitter_std,jitter_p95,jitter_max,drift_mean,hf_jitter,delta_consistency
baseline_2views,0.0772173209699619,0.1719848093837832,0.2428323389102766,0.2801472691121141,0.1169119899766164,0.1632352791354976,0.1456770754268176,0.0589268003226479,6.798594596806964,0.0,0.0,0.0064425556920468,0.0064514530822634,0.0143702048808336,0.0821942687034607,0.0168906319886446,0.0102319726720452,
baseline_3views,0.0694624866667345,0.2014636607127597,0.3587867115789013,0.3073135285391583,0.2327092013548542,0.074604327184304,0.1319790676953928,0.1216122442998279,10.163999269296452,0.0,0.0,0.0068988855928182,0.0097732562571764,0.0289139300584793,0.1144417747855186,0.01866284199059,0.0095668481662869,
baseline_4views,0.0499213815637318,0.0955517758017927,0.3432927516889728,0.2376373869526952,0.2258660307459109,0.0117713562067842,0.0631711940783463,0.066103769941504,2.9093624525916404,0.0,0.0,0.0079866191372275,0.0049708634614944,0.0129197938367724,0.1136810183525085,0.073067232966423,0.0099453208968043,
global_2views,0.0913467463286036,0.1007833737858684,0.0930149862480187,0.1109152792956073,0.1521119871842173,-0.0411967078886099,2.348072405324016e-08,3.2884765193946e-08,0.0810284752076784,0.0,0.0,0.001557542127557,0.0070754513144493,0.0122872656211256,0.0855572000145912,1.780560523911845e-05,0.0029865286778658,0.0141294253586417
global_3views,0.0906474193311063,0.0401402401637814,0.048410429050145,0.046071757700079,0.0822730459492298,-0.0362012882491507,2.304839831415722e-08,2.9194006762145693e-08,0.0810284752076784,0.0,0.0,0.0028871826361864,0.0104429116472601,0.0263921990990638,0.1138276681303978,0.004601479973644,0.0054375198669731,0.0211849326643717
global_4views,0.064287517326303,0.0575729286703103,0.101860065761279,0.1249852192601038,0.1432708822600906,-0.0182856629999868,2.102508826601771e-08,2.9136426188742585e-08,0.0810284752076784,0.0,0.0,0.0005827931454405,0.004745895974338,0.0002681024488992,0.1122844442725181,0.0004516767512541,0.0011228065704926,0.0143661357625712
