strategy,chamfer,static_completeness,dynamic_completeness,static_accuracy,dynamic_accuracy,motion_gap,ate,rpe,rot_error,focal_error,pp_error,jitter_mean,jitter_std,jitter_p95,jitter_max,drift_mean,hf_jitter,delta_consistency
baseline_2views,0.2110389472784011,0.3360007768841946,0.4399061477710301,0.3601335368590556,0.3780354658243973,-0.0179019289653417,0.551593469017221,0.0603037211142546,4.923881983733962,0.147344040998461,76.02016530682863,0.0050829141400754,0.003348717233166,0.0084469094872474,0.0529577918350696,0.0310672968626022,0.0075335488654673,
baseline_3views,0.18334169485483,0.3218517064289846,0.6206634819580868,0.4549269419485261,0.597174633486473,-0.1422476915379468,0.2809479466807709,0.124917464792659,1.9149474439483456,0.1148809019295878,72.45942080769048,0.003942125942558,0.0021776906214654,0.0066165081225335,0.0321159996092319,0.0218524858355522,0.0065458444878458,
baseline_4views,0.3163169662680825,0.1090502533311146,0.3708272819719548,0.4615997681140009,0.6278142423011358,-0.1662144741871348,0.2642549378065733,0.1515039682896338,6.187044375562545,0.1396571657242665,70.98237067160454,0.0061234449967741,0.0065390169620513,0.0154067128896713,0.0928763523697853,0.0362282283604145,0.0098287258297204,
global_2views,0.2128414736752721,0.3173019364516047,0.4038352197738147,0.3453999770754001,0.3455037872751595,-0.0001038101997594,0.5510299559146083,0.0601692012944414,4.898915106305006,0.147344040998461,76.02016530682863,0.0038973707705736,0.0035110479220747,0.0078797368332743,0.0527532845735549,0.0140787838026881,0.006412882823497,0.001802526396871
global_3views,0.1842022961248021,0.3362748326922564,0.614270755825971,0.4689964007021864,0.5869005786712935,-0.117904177969107,0.2764995170322925,0.1230606692024854,1.7965763479361012,0.1148809019295878,72.45942080769048,0.0025288383476436,0.0020392148289829,0.0047117033973336,0.0309177916496992,0.0082206325605511,0.0039517325349152,0.000860601269972
global_4views,0.3211793028192039,0.1077427868529879,0.368638358378132,0.4549968047115696,0.6361675418395407,-0.181170737127971,0.250831547986883,0.1433016335510993,5.7038613822498,0.1396571657242665,70.98237067160454,0.0043738358654081,0.0064668473787605,0.0142417503520846,0.0929546952247619,0.0222085583955049,0.0071673253551125,0.0048623365511214
