strategy,chamfer,ate,rpe,rot_error,focal_error,pp_error,delta_consistency,global_accuracy,global_completeness
baseline_2views,0.4333453147249334,2.0283091214573186,0.3828820963125772,8.017176858692617,0.5768312613199612,417.7138226044633,,0.0320565473395919,0.0384947992259312
baseline_3views,0.4391774496473265,2.4175074618784973,0.8667876286805346,19.19844523561704,0.5532038209244804,418.44887605715553,,0.0290876916665484,0.0496615775371218
baseline_4views,0.4561123066122858,1.8859707500212792,1.209453468055338,24.31311164946488,0.5599670393519381,419.0077903673515,,0.0132930137453844,0.0272405660377358
strategy1_2views,0.4376786978702529,1.9933400625703692,0.4249131527332698,8.45581268488714,0.5768312613199612,417.7138226044633,0.0043333831453194,0.0313822912578176,0.0373613126915013
strategy1_3views,0.4412248316024303,2.3985152895441506,0.8740366880242998,18.692039417832948,0.5532038209244804,418.44887605715553,0.0020473819551038,0.0280556151023114,0.0464243515313907
strategy1_4views,0.4574243190453979,1.8360132349512863,1.163812444033613,23.626015148814737,0.5599670393519381,419.0077903673515,0.0013120124331121,0.0178490033360741,0.0263883461724535
strategy2_2views,0.4362146223955611,1.993994589458842,0.3900663251754186,7.582516325118179,0.5768312613199612,417.7138226044633,0.0028693076706275,0.0308480486925146,0.0370909933881632
strategy2_3views,0.4445735465208594,2.387678478524475,0.8549397710533421,18.339465822632324,0.5532038209244804,418.44887605715553,0.0053960968735329,0.0278426810362849,0.0462171113840199
strategy2_4views,0.4596423658772333,1.829015978840799,1.1435839453618226,23.19754541880308,0.5599670393519381,419.0077903673515,0.0035300592649475,0.0179433853291426,0.0264865003163261
strategy3_2views,0.4453408215898583,1.9280793532709952,0.425407139125883,8.04546278885004,0.5768312613199612,417.7138226044633,0.0119955068649248,0.0308904089097234,0.0370488630865989
strategy3_3views,0.4445460269101101,2.3927461435210167,0.863225313911715,18.521052442463898,0.5532038209244804,418.44887605715553,0.0053685772627835,0.0278590248687281,0.046472498232295
strategy3_4views,0.4580443886791523,1.8344066049507224,1.1440793241342675,23.272729434548296,0.5599670393519381,419.0077903673515,0.0019320820668666,0.0179515133727389,0.0264264913847642
