strategy,chamfer,ate,rpe,rot_error,focal_error,pp_error,delta_consistency,chamfer_4d,global_accuracy,global_completeness
baseline_per_frame_2views,0.1929498983325072,5.265815610573562,0.4898280492970617,8.76718710132182,0.4719085205336347,421.5385399160878,0.0154320070363572,0.2083819053688645,0.1186623976986413,0.1081733613568003
baseline_per_frame_3views,0.2665846365971779,3.522863936562525,0.9475646049230146,9.141179440548248,0.472283683834112,422.1580335110673,-0.06231322065099,0.2042714159461879,0.0678342083610774,0.0580286829156912
baseline_per_frame_4views,0.2299368856813842,3.4504655736508756,0.8573954627167776,8.19688480944619,0.4688803889329628,422.991337888797,-0.0268994713206628,0.2030374143607213,0.0688696431270049,0.0793729365008788
global_4d_2views,0.2083819053688645,3.354714202771354,1.860657547135527,168.69647639001153,0.4719085205336347,421.5385399160878,0.0154320070363572,,0.1202107999282492,0.0806334984807639
global_4d_3views,0.2042714159461879,3.2366444863421164,2.703462383065387,168.2247152009641,0.472283683834112,422.1580335110673,-0.06231322065099,,0.1164355081380637,0.10916734844877
global_4d_4views,0.2030374143607213,3.2837516409823206,3.1450309815796595,168.917221385047,0.4688803889329628,422.991337888797,-0.0268994713206628,,0.1121628221216492,0.1259776117081271
