dataset,view_count,strategy,chamfer_3d,chamfer_4d,delta_consistency,ate,rpe,rot_error,focal_error,pp_error,chamfer,global_accuracy,global_completeness
hi4d,2,baseline_per_frame_monofusion,0.320331848727908,0.3484865508920575,0.0281547021641494,2.681990569113367,2.3091949305389647,36.41787333552783,0.4720818822033935,421.91919775024263,0.320331848727908,0.0464158204868073,0.0274404351543135
hi4d,2,global_4d_monofusion,0.3484865508920575,,,2.663359946941354,2.30963872813387,35.53611578909172,0.4720818822033935,421.91919775024263,0.3484865508920575,0.0422638794659978,0.0216956538347802
hi4d,3,baseline_per_frame_monofusion,0.3416755496695203,0.3623015334126661,0.0206259837431456,2.7193970469444304,3.0625669474601223,37.75631231670034,0.4720814405837129,422.24788867816,0.3416755496695203,0.0428804471615519,0.0309961995006414
hi4d,3,global_4d_monofusion,0.3623015334126661,,,2.726438429361339,3.0616710031238137,36.92865453075067,0.4720814405837129,422.24788867816,0.3623015334126661,0.0428720894972046,0.0267105961390631
hi4d,4,baseline_per_frame_monofusion,0.4064738132648356,0.4115421621361955,0.0050683488713598,3.095223507405642,3.579207627290418,32.33911560967477,0.4720832605015821,422.85614942415265,0.4064738132648356,0.0470116643264165,0.0233039325457999
hi4d,4,global_4d_monofusion,0.4115421621361955,,,3.0943180762203113,3.5790502144143033,31.868064854047592,0.4720832605015821,422.85614942415265,0.4115421621361955,0.0449274811841342,0.0224224326112883
