strategy,chamfer,ate,rpe,rot_error,focal_error,pp_error,delta_consistency,global_accuracy,global_completeness
baseline_2views,0.3856370753513529,1.7920300315051214,1.848481170322238,10.952050117367628,0.3484050619250098,417.7138226044633,,0.032407509768675,0.0421726334462183
baseline_3views,0.3870246815885318,1.9942996389594356,1.9534168231961455,19.620147770688092,0.3489283358529955,418.4226271602043,,0.0273839987070713,0.054111836800516
baseline_4views,0.4102334306479726,1.7189327046272855,2.102235488442945,26.25208779895321,0.3276423136799358,419.0583303935728,,0.0139151293827605,0.030587002096436
strategy1_2views,0.3899894526255488,1.736366832396112,1.8198141751984296,11.234606435901862,0.3484050619250098,417.7138226044633,0.0043523772741958,0.0318851019673233,0.0400235849056603
strategy1_3views,0.3860369106117527,2.0001015926128063,1.966270865480117,19.599776730603775,0.3489283358529955,418.4226271602043,-0.0009877709767791,0.026623525071645,0.0521956136107079
strategy1_4views,0.415593980083087,1.636266257636992,2.003828978157588,25.06520625532865,0.3276423136799358,419.0583303935728,0.0053605494351144,0.013783633237817,0.02933236574746
strategy2_2views,0.3867196641517834,1.748597442065246,1.8217913881954584,10.60811446413472,0.3484050619250098,417.7138226044633,0.0010825888004305,0.0318473987691027,0.0403082164167069
strategy2_3views,0.3865642924576138,1.9827830579935612,1.9479209071208343,19.220732570719985,0.3489283358529955,418.4226271602043,-0.0004603891309179,0.026527990926652,0.0519468634091275
strategy2_4views,0.4145412928743966,1.627068841341843,1.9918537696938696,24.73676641827772,0.3276423136799358,419.0583303935728,0.004307862226424,0.0137254436398218,0.0290866392517335
strategy3_2views,0.3896383306719386,1.6939179021510644,1.7901951326399106,10.62050838619272,0.3484050619250098,417.7138226044633,0.0040012553205856,0.0311300210413525,0.0390362441541686
strategy3_3views,0.3856407441969498,1.993347539615952,1.9595068509942335,19.46577487718104,0.3489283358529955,418.4226271602043,-0.001383937391582,0.0265101930913339,0.0520115707144009
strategy3_4views,0.4127798132106052,1.6336034964443111,2.0004313042265087,24.868693410274968,0.3276423136799358,419.0583303935728,0.0025463825626326,0.0189268734211181,0.0295035074987905
