strategy,chamfer,static_completeness,dynamic_completeness,static_accuracy,dynamic_accuracy,motion_gap,ate,rpe,rot_error,focal_error,pp_error,jitter_mean,jitter_std,jitter_p95,jitter_max,drift_mean,hf_jitter
opt_2views,0.0395014988422982,0.6161637862369193,0.389670883710789,0.6935966612336644,0.4417176365357599,0.2518790246979043,0.0823494418583545,0.049521318077708,1.990171224761206,0.080166266200263,41.76111728811813,0.0016098806168883,0.0005683929106452,0.0023574834922328,0.0106209335383027,0.0339846680872141,0.0002616159647004
opt_3views,0.0356201485938488,0.720866645335114,0.4467598207607682,0.8515732535122351,0.6583972114900707,0.1931760420221643,0.0776933872394863,0.0590731388796502,2.0017716599596573,0.071394937379918,38.20203860537072,0.0010484851110958,0.0004681473074014,0.0017826690280343,0.0071626225253566,0.0202981567010283,0.0001970486635399
opt_4views,0.0345945244690853,0.7588237319488802,0.6285709023811161,0.912398856107273,0.8364537467062882,0.0759451094009847,0.0600341287659609,0.0529869358730413,1.3756646640213377,0.0725904791515126,36.85993545849256,0.0008586447278502,0.0003379896108526,0.0014134232711512,0.0053337910911068,0.0137714181561022,0.0001830261906433
