strategy,chamfer,static_completeness,dynamic_completeness,static_accuracy,dynamic_accuracy,motion_gap,ate,rpe,rot_error,focal_error,pp_error,jitter_mean,jitter_std,jitter_p95,jitter_max,drift_mean,hf_jitter,delta_consistency
baseline_2views,0.1955682156250172,0.7125273338977878,0.5904392295576696,0.7364464573267062,0.7430554662556131,-0.0066090089289068,0.4517374753017974,0.048668609402686,1.5210780644627186,0.164708801293839,76.02016530682863,0.0065304768375224,0.0038458053281323,0.0127429254353046,0.0747471849123636,0.0197753415753444,0.0105737081935836,
baseline_3views,0.217041696827602,0.7633223288157741,0.6245343865640407,0.8166428003390248,0.7794818607782416,0.0371609395607832,0.2447797749461958,0.1019586459959703,1.9197599512491057,0.1495324833770853,72.45942080769048,0.0037221100388301,0.0015075618090728,0.0063399864981571,0.0260942996893492,0.011099466898789,0.0060014071253438,
baseline_4views,0.1779464416135105,0.6574910104451969,0.6330467663708734,0.825716636302426,0.8039770672857006,0.0217395690167253,0.323352983143276,0.0845259552588554,2.0548016027824145,0.157311178348987,70.98237067160454,0.0046707196859642,0.0022909597959369,0.0076426447369158,0.0436153667047619,0.0102329187095165,0.0076649314723908,
strategy1_2views,0.2013713594337921,0.5362602698247421,0.4801163064222577,0.5654142353723267,0.6079774392195595,-0.0425632038472328,0.4538084499260837,0.0523648187112057,2.229521063913128,0.164708801293839,76.02016530682863,0.0081269426995681,0.0041239939423071,0.0148817548114392,0.0754795707762241,0.0325001618928379,0.0132406976901822,0.0058031438087749
strategy1_3views,0.2251943908677373,0.5253961048478997,0.4296215438392273,0.5791416574906177,0.5275803316053699,0.0515613258852478,0.2783131059921244,0.1052621464918325,2.5080213404183853,0.1495324833770853,72.45942080769048,0.0080673017332123,0.0025745067202175,0.0125444313097331,0.0327934665191504,0.0376903532693783,0.0136968805454671,0.0081526940401352
strategy1_4views,0.1833925096703003,0.5034329845663179,0.5157496387909363,0.6533452016969579,0.6784234871653381,-0.0250782854683801,0.336544354881679,0.106251756749697,3.012892993031993,0.157311178348987,70.98237067160454,0.0070174999302253,0.0028848423506133,0.0110565703362226,0.0448132457211613,0.022417741920799,0.0114649625495076,0.0054460680567897
strategy2_2views,0.2012976412438945,0.5403388985123956,0.4818884612288389,0.5698351611875897,0.6105846188743133,-0.0407494576867235,0.4542192288312664,0.0516830948607975,2.2308835764704176,0.164708801293839,76.02016530682863,0.0068316599871549,0.0038155272551294,0.013104899889893,0.075052843739589,0.0321562257077958,0.0112534749011198,0.0057294256188772
strategy2_3views,0.2243783828149893,0.548812490305979,0.4508187225362604,0.6017874608856372,0.5565914707578324,0.0451959901278047,0.276661143666476,0.1057547103343194,2.5707535195633624,0.1495324833770853,72.45942080769048,0.0042649384639743,0.0015419133123941,0.0068499682885077,0.0265043931495812,0.0215690811682078,0.0069151571434405,0.0073366859873872
strategy2_4views,0.1832800822995893,0.4729550451741704,0.500372066473705,0.5954554752985897,0.6535636131549241,-0.0581081378563342,0.3322826004671456,0.1069863761657628,3.2843243076303374,0.157311178348987,70.98237067160454,0.0044791999738663,0.0024951922590844,0.0078553385101258,0.0431402493268251,0.0177433476783335,0.0072801635134965,0.0053336406860787
strategy3_2views,0.2017394124563133,0.5300908840662657,0.4677795591323747,0.5570936426155217,0.5950840365656593,-0.0379903939501375,0.4534084859098918,0.0520495849139255,2.186059746373429,0.164708801293839,76.02016530682863,0.0098001622698373,0.0037816964969452,0.0160148495601283,0.0767212158275975,0.0318649617127246,0.0158542642990748,0.006171196831296
strategy3_3views,0.223882495389473,0.5440245810630476,0.4455219834604887,0.5904617683848076,0.544812379592404,0.0456493887924035,0.2752946005731087,0.1050124399658591,2.497862531587255,0.1495324833770853,72.45942080769048,0.0083223139453265,0.0015017562933887,0.0109122112496859,0.0295954064155618,0.0256452885352902,0.014304778072983,0.006840798561871
strategy3_4views,0.181606793204981,0.4977314911150465,0.5105677318318721,0.6386103397975249,0.6626638882132928,-0.0240535484157678,0.3288237289730394,0.1058471081802944,2.834956990928087,0.157311178348987,70.98237067160454,0.0087561110965907,0.0022040984767954,0.0116284396033734,0.0456476263701915,0.0304232749156653,0.0141354235820472,0.0036603515914704
