strategy,chamfer_3d,static_completeness,dynamic_completeness,static_accuracy,dynamic_accuracy,motion_gap,ate,rpe,rot_error,focal_error,pp_error,jitter_mean,jitter_std,jitter_p95,jitter_max,drift_mean,hf_jitter,delta_consistency,chamfer_4d,chamfer
baseline_per_frame_2views,0.0489862101238267,0.4044006305266673,0.4420372291517926,0.4018744308311289,0.4189404388439363,-0.0170660080128072,0.5273282655324616,0.0553011047418937,4.912391599902023,0.1508161223405619,76.02016530682863,0.0051233727845831,0.0043421766946222,0.0089789348582079,0.0920054015727242,0.0164543551084151,0.0076410613580962,0.0022579647068569,0.0512441748306838,0.0489862101238267
baseline_per_frame_3views,0.0404102914142881,0.5344368694647038,0.5352722647395115,0.6401125667905979,0.5529171757763921,0.0871953910142057,0.2998499550533887,0.1315960643230593,2.1480643532517227,0.1152595751947731,72.45942080769048,0.0033516702582336,0.0023351955502002,0.0059684189459548,0.0461432088085344,0.0105912600813058,0.0052936782997023,0.0010137544122444,0.0414240458265326,0.0404102914142881
baseline_per_frame_4views,0.0687234694029272,0.3084929038777651,0.3904454377302289,0.695549140334869,0.641071741008626,0.0544773993262431,0.3149617593199161,0.1294653215914347,5.534446566298882,0.1382200169464442,70.98237067160454,0.0066972043724962,0.0065331737475378,0.0098547741825811,0.1197908503103687,0.0127419848477488,0.0108828408254744,0.0004079166195905,0.0691313860225178,0.0687234694029272
global_4d_2views,0.0512441748306838,0.3713925019702633,0.4031730971912043,0.3710936344033234,0.3852534454288677,-0.0141598110255443,0.5252138893262255,0.0546987191719882,4.842189354566748,0.1508161223405619,76.02016530682863,0.0031473278984219,0.0028200601306703,0.0056655317314982,0.059128667963327,0.0103447426391466,0.0048705375448719,0.0022579647068569,,0.0512441748306838
global_4d_3views,0.0414240458265326,0.5291077465749047,0.5245959103119701,0.6252510446052455,0.5295359458540917,0.0957150987511536,0.2932010756397572,0.1289822277359133,1.959580667907468,0.1152595751947731,72.45942080769048,0.0029707553105781,0.0019887284618195,0.0051646736503317,0.0396614261038816,0.0102399655296851,0.0047099506478904,0.0010137544122444,,0.0414240458265326
global_4d_4views,0.0691313860225178,0.305390753079985,0.3882790352692969,0.6911637486900102,0.6279684476804738,0.0631953010095364,0.3062257455993422,0.1147995174590707,4.666719005964074,0.1382200169464442,70.98237067160454,0.0034646359282869,0.0053014089509205,0.0059319907699946,0.0953491203106136,0.0073846326972659,0.0058639340971602,0.0004079166195905,,0.0691313860225178
