strategy,chamfer,static_completeness,dynamic_completeness,static_accuracy,dynamic_accuracy,motion_gap,ate,rpe,rot_error,focal_error,pp_error,jitter_mean,jitter_std,jitter_p95,jitter_max,drift_mean,hf_jitter,delta_consistency
baseline_2views,0.020231409634329,0.7801110678458671,0.6281466766003898,0.8810085249457332,0.785661425865777,0.0953470990799561,0.06910500855939,0.0440430028292442,1.1401540068890763,0.080166266200263,41.76111728811813,0.0036360321100801,0.0022022789344191,0.0080557335168123,0.0166442450135946,0.0125903077423572,0.0057290736585855,
baseline_3views,0.0313929053733278,0.7700757756067946,0.5140361668394415,0.9272540982755132,0.7597835323414507,0.1674705659340626,0.0666420203583347,0.0533950593785342,1.739981975696648,0.071394937379918,38.20203860537072,0.0030526865739375,0.001044049160555,0.0056156762875616,0.0078228116035461,0.0062344395555555,0.0051743765361607,
baseline_4views,0.0312286702936925,0.7811341372213708,0.6755184167868363,0.95486999570049,0.8966301609081915,0.0582398347922985,0.053990321888982,0.0485961368023615,1.2792862578464477,0.0725904791515126,36.85993545849256,0.0040035843849182,0.0016246224986389,0.0054156831465661,0.0360220819711685,0.0063953464850783,0.006681137252599,
strategy1_2views,0.027080404518457,0.651907313394233,0.4676955966553828,0.7420845783795285,0.5757776076244376,0.1663069707550907,0.0759693186978852,0.0473895016843606,1.7902911085190678,0.080166266200263,41.76111728811813,0.0061019440181553,0.0017442929092794,0.0099405078217387,0.0172178335487842,0.0327017456293106,0.0098834717646241,0.0068489948841279
strategy1_3views,0.0326738438017482,0.7409068620944202,0.4693397905302616,0.8898819803169042,0.694640901463172,0.195241078853732,0.0679686275283179,0.0540046241083237,1.827387077268695,0.071394937379918,38.20203860537072,0.0083945533260703,0.0018480608705431,0.0123622585088014,0.0160270258784294,0.0404760390520095,0.0147348754107952,0.0012809384284203
strategy1_4views,0.0322882399523663,0.7481394705124231,0.644629341372313,0.9342369774165054,0.8756443449072997,0.0585926325092056,0.0556341802005138,0.0494496619278118,1.415688701309712,0.0725904791515126,36.85993545849256,0.0062241675332188,0.0020472051110118,0.0098830638453364,0.0385181084275245,0.02192834764719,0.0108632193878293,0.0010595696586737
strategy2_2views,0.0267251741655362,0.6601954590535406,0.481229859175351,0.7529920327018507,0.5934354618257218,0.1595565708761288,0.0753635057176287,0.0475786825063589,1.7500105132026504,0.080166266200263,41.76111728811813,0.0048753581941127,0.0020035030320286,0.0090301800519227,0.0174076352268457,0.0346948429942131,0.007959228940308,0.006493764531207
strategy2_3views,0.0321392906223462,0.7570302374914599,0.4902796687497023,0.908705348305842,0.7198491941612672,0.1888561541445747,0.067296341866388,0.0538761607156113,1.7989671354175791,0.071394937379918,38.20203860537072,0.0045407400466501,0.0017257679719477,0.0081798797473311,0.0116156786680221,0.0106493821367621,0.0076089981012046,0.0007463852490183
strategy2_4views,0.0319461314270299,0.7609073380283068,0.6597077859087978,0.9430449633666604,0.8849053188954098,0.0581396444712503,0.0543949694257906,0.0488558963478874,1.3706893612996651,0.0725904791515126,36.85993545849256,0.0049991398118436,0.0018815650837495,0.0079275211319327,0.03744513168931,0.0192165002226829,0.0085356356576085,0.0007174611333373
strategy3_2views,0.0249135528082025,0.6687325293555197,0.5283998239614024,0.7605275023349204,0.641878192895321,0.1186493094395993,0.075141730248899,0.0471009013787791,1.730090706505626,0.080166266200263,41.76111728811813,0.0044072014279663,0.0019971090368926,0.0085677644237875,0.016926234588027,0.0288733467459678,0.006766261998564,0.0046821431738734
strategy3_3views,0.0322709252590601,0.75337506766548,0.4909933875292064,0.9024194840259622,0.7210499132925177,0.1813695707334444,0.0670907826818624,0.0538127437400654,1.8031973220188,0.071394937379918,38.20203860537072,0.0055942768231034,0.0011682248441502,0.0082616135478019,0.0104262977838516,0.0194903593510389,0.0093866288661956,0.0008780198857323
strategy3_4views,0.0319215650723122,0.7596011393407175,0.659938686310252,0.9424995852718572,0.8850811777607251,0.0574184075111319,0.0545566491135941,0.049175793523951,1.392618112733938,0.0725904791515126,36.85993545849256,0.0062899691984057,0.0018950833473354,0.0093926172703504,0.0383971109986305,0.0183803550899028,0.0110012777149677,0.0006928947786196
