view_count,strategy,chamfer_3d,chamfer_4d,delta_consistency,static_completeness,dynamic_completeness,static_accuracy,dynamic_accuracy,motion_gap,ate,rpe,rot_error,focal_error,pp_error,jitter_mean,jitter_std,jitter_p95,jitter_max,drift_mean,hf_jitter,chamfer
2,baseline_per_frame_monofusion_2,0.0798464980127932,0.0814320124375672,0.0015855144247739,0.2431525333940426,0.1707576124497529,0.197781432657033,0.1413206150913342,0.0564608175656986,1.211050109421869,0.6726726751262869,151.96258739928075,0.0,0.0,0.0072663299040868,0.003936889884062,0.0114826863014604,0.0771629855036734,0.0755083981901406,0.0075595569913274,0.0798464980127932
2,global_4d_monofusion_2,0.0814320124375672,,,0.1994039727683012,0.1454010804686937,0.1554759930477267,0.1145994106368641,0.0408765824108625,1.2083223049227274,0.6723411014109166,151.93473959242937,0.0,0.0,0.0007050848726066,0.0038048843853175,0.003367649076511,0.0723493601195513,0.00058152129277,0.0013757507287663,0.0814320124375672
3,baseline_per_frame_monofusion_2,0.0336033871420089,0.0309380101504365,-0.0026653769915723,0.5920207694327445,0.4070438188731228,0.5076077124729437,0.3399659762818527,0.1676417361910908,1.4934085961825336,0.7879665436395241,100.7319158334428,0.0,0.0,0.0072663299040868,0.003936889884062,0.0114826863014604,0.0771629855036734,0.0755083981901406,0.0075595569913274,0.0336033871420089
3,global_4d_monofusion_2,0.0309380101504365,,,0.6409673173818373,0.4354277909730302,0.544240773296502,0.3895371296086526,0.1547036436878492,1.4930691297194276,0.7879337430415897,100.71875358532816,0.0,0.0,0.0007050848726066,0.0038048843853175,0.003367649076511,0.0723493601195513,0.00058152129277,0.0013757507287663,0.0309380101504365
4,baseline_per_frame_monofusion_2,0.0358496094175967,0.0311141355165227,-0.0047354739010739,0.5448733085590877,0.4443076161168305,0.5060340715763496,0.3745130817727596,0.13152098980359,1.6909711892712107,1.3202864627565525,81.0155793056638,0.0,0.0,0.0072663299040868,0.003936889884062,0.0114826863014604,0.0771629855036734,0.0755083981901406,0.0075595569913274,0.0358496094175967
4,global_4d_monofusion_2,0.0311141355165227,,,0.6342443528547402,0.5124051787337571,0.6196324377033635,0.4700006298156787,0.1496318078876847,1.6908798922112365,1.3202527930103336,80.86091979898647,0.0,0.0,0.0007050848726066,0.0038048843853175,0.003367649076511,0.0723493601195513,0.00058152129277,0.0013757507287663,0.0311141355165227
